Species3;Family3;Order3;Clade;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand-Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;Min.Latitude;Max.Latitude;Centroid.Latitude;Centroid.Longitude;Range.Size;Species.Status
Aegotheles albertisi;Aegothelidae;Apodiformes;NA;1;0;0;1;1;11,6;4,2;3,2;4;18,8;114;34;80;29,8;87;35,2;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-10,31;-0,99;-6,49;144,6432479;95188,1;Extant
Aegotheles archboldi;Aegothelidae;Apodiformes;NA;2;1;1;0;2;12,9;3,6;3,5;2,6;18,6;116,5;37;79,5;31,8;95,5;30,6;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-5,37;-3,35;-4,19;138,5130191;44983,92;Extant
Aegotheles bennettii;Aegothelidae;Apodiformes;NA;7;4;3;0;7;16,5;5,9;4,8;4;19,8;127,5;39,6;87,8;31,1;114,9;60;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-10,73;-0,79;-5,63;143,9752959;199259,89;Extant
Aegotheles crinifrons;Aegothelidae;Apodiformes;NA;5;2;0;3;3;23,3;8,2;8,4;6;24,9;164,6;45;119,5;27,4;144,1;136;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-0,92;2,23;0,71;127,9523141;20463,32;Extant
Aegotheles cristatus;Aegothelidae;Apodiformes;NA;5;2;3;0;4;14;5;4;3,7;23,7;135,8;47;88,8;34,6;121,2;42,78;Dunning;NA;NO;NA;NA;Woodland;2;1;Carnivore;Invertivore;Insessorial;-43,64;-6,65;-25,68;134,5154299;7702773,06;Extant
Aegotheles insignis;Aegothelidae;Apodiformes;NA;4;2;2;0;4;19,5;6,1;3,9;4;21,3;165,2;50,2;115;30,4;137;78,5;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-10,22;-0,46;-5,27;141,8970304;168011,22;Extant
Aegotheles savesi;Aegothelidae;Apodiformes;NA;1;0;1;0;0;21,6;6,6;7,1;5;32,5;163;34;129;20,9;149;52;Inferred;NA;YES;Beak Depth;Aegotheles tatei;Forest;1;NA;Carnivore;Invertivore;Insessorial;-21,98;-21,93;-21,96;166,4845626;10,73;Extant
Aegotheles tatei;Aegothelidae;Apodiformes;NA;1;1;0;0;1;20;7,4;7,5;5;16,1;145,8;40,2;105,6;27,6;130,2;52;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-10,44;-5,74;-6,95;143,2348745;3664,11;Extant
Aegotheles wallacii;Aegothelidae;Apodiformes;NA;3;2;1;0;3;17,5;5,4;3,8;3,9;18,5;119;35,7;83,3;30;102,7;50,73;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-7,15;-0,51;-4,45;139,7376876;40086,3;Extant
Aeronautes andecolus;Apodidae;Apodiformes;NA;5;2;0;3;4;7;3;2,4;2,1;8,6;140;98,2;41,5;70,3;62,2;17,6;Dunning;NA;NO;NA;NA;Shrubland;1;1;Carnivore;Invertivore;Aerial;-38,79;-5,96;-23,75;-68,87269007;891310,57;Extant
Aeronautes montivagus;Apodidae;Apodiformes;NA;4;3;1;0;4;6,5;3,1;2,4;2,6;8,1;115,2;79,1;36,1;68,6;46,2;20,14;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-23,09;11,02;-1,98;-69,62510491;842701,64;Extant
Aeronautes saxatalis;Apodidae;Apodiformes;NA;6;4;2;0;6;7;3;2,9;2,5;10,6;140,3;98,2;42,1;69,8;63,7;32,1;Dunning;NA;NO;NA;NA;Rock;1;1;Carnivore;Invertivore;Aerial;13,45;50,85;33,58;-109,2121584;4096268,29;Extant
Apus acuticauda;Apodidae;Apodiformes;NA;1;1;0;0;1;13;4,1;3,1;3;15,2;174;120,1;53,9;69;71;39,4;Inferred;NA;YES;Body Mass;Apus pacificus;Forest;1;3;Carnivore;Invertivore;Aerial;22,7;27,74;26,16;92,17978504;15660,49;Extant
Apus affinis;Apodidae;Apodiformes;NA;5;3;2;0;3;8,5;3,9;5,6;2,8;10,3;126,5;81,7;42,1;66;41,5;22,57;Dunning;NA;NO;NA;NA;Human Modified;1;3;Carnivore;Invertivore;Aerial;-34,84;39,15;2,45;29,51279805;22143832,39;Extant
Apus alexandri;Apodidae;Apodiformes;NA;4;2;2;0;4;8,7;3,1;2,9;2;8,7;137,5;96,7;40,8;70,3;54,2;41,9;Inferred;NA;YES;Body Mass;Apus pallidus;Rock;1;NA;Carnivore;Invertivore;Aerial;14,8;17,2;15,82;-24,32707507;2642,82;Extant
Apus apus;Apodidae;Apodiformes;NA;16;9;7;0;3;10,2;4,3;4;2,8;8,8;161,3;120,2;48,1;71,6;67,4;37,6;Dunning;NA;NO;NA;NA;Human Modified;1;3;Carnivore;Invertivore;Aerial;27,16;69,95;48,52;57,95146975;24779919,71;Extant
Apus balstoni;Apodidae;Apodiformes;NA;4;2;2;0;4;11,5;4,2;3,5;2,6;11;161,2;113,9;47,3;70,7;71,2;42,8;Dunning;NA;NO;NA;NA;Rock;1;2;Carnivore;Invertivore;Aerial;-25,61;-11,36;-19,36;46,68907663;592893,19;Extant
Apus barbatus;Apodidae;Apodiformes;NA;4;2;2;0;4;11,9;4,3;3,1;2,5;12,2;171;122,9;48,1;71,9;75,5;42,8;Dunning;NA;NO;NA;NA;Rock;1;2;Carnivore;Invertivore;Aerial;-34,84;9,4;-20,21;28,62525319;1200605,42;Extant
Apus batesi;Apodidae;Apodiformes;NA;4;2;2;0;3;8,4;2,8;3,1;1,9;9,5;123;79,9;43,1;65;59,7;22,1;Inferred;NA;YES;Body Mass;Apus caffer;Forest;1;2;Carnivore;Invertivore;Aerial;0,69;8,36;3,63;7,893600009;299260,21;Extant
